"Date","Price","Open","High","Low","Vol.","Change %"
"07/23/2025","135,368","134,036","135,782","133,676","6.53B","0.99%"
"07/22/2025","134,036","134,180","135,300","133,986","7.05B","-0.10%"
"07/21/2025","134,167","133,382","134,865","133,367","6.73B","0.59%"
"07/18/2025","133,382","135,562","135,562","133,296","10.07B","-1.61%"
"07/17/2025","135,565","135,515","135,792","135,016","6.80B","0.04%"
"07/16/2025","135,511","135,250","135,641","134,265","7.83B","0.19%"
"07/15/2025","135,250","135,298","136,022","134,380","6.90B","-0.04%"
"07/14/2025","135,299","136,187","136,187","134,840","7.33B","-0.65%"
"07/11/2025","136,187","136,742","136,742","135,528","7.40B","-0.41%"
"07/10/2025","136,743","137,472","137,472","136,014","9.57B","-0.54%"
"07/09/2025","137,481","139,303","139,331","137,299","7.58B","-1.31%"
"07/08/2025","139,303","139,491","139,591","138,770","6.75B","-0.13%"
"07/07/2025","139,490","141,265","141,342","139,295","6.12B","-1.26%"
"07/04/2025","141,264","140,928","141,564","140,597","3.31B","0.24%"
"07/03/2025","140,928","139,051","141,304","139,051","6.08B","1.35%"
"07/02/2025","139,051","139,586","140,049","138,384","8.81B","-0.36%"
"07/01/2025","139,549","138,855","139,695","138,855","6.35B","0.50%"
"06/30/2025","138,855","136,865","139,103","136,430","7.68B","1.45%"
"06/27/2025","136,866","137,113","137,209","136,469","6.24B","-0.18%"
"06/26/2025","137,114","135,767","137,353","135,756","8.02B","0.99%"
"06/25/2025","135,767","137,163","137,163","135,565","7.71B","-1.02%"
"06/24/2025","137,165","136,552","138,156","136,254","8.08B","0.45%"
"06/23/2025","136,551","137,116","137,130","135,835","7.73B","-0.41%"
"06/20/2025","137,116","138,715","138,719","136,815","11.29B","-1.15%"
"06/18/2025","138,717","138,844","139,161","138,443","8.32B","-0.09%"
"06/17/2025","138,840","139,256","139,497","138,293","8.38B","-0.30%"
"06/16/2025","139,256","137,212","139,988","137,212","7.62B","1.49%"
"06/13/2025","137,213","137,800","137,800","136,586","8.63B","-0.43%"
"06/12/2025","137,800","137,127","137,931","136,175","7.12B","0.49%"
"06/11/2025","137,128","136,443","137,531","135,628","8.77B","0.51%"
"06/10/2025","136,436","135,716","137,369","135,716","8.19B","0.54%"
"06/09/2025","135,699","136,102","136,106","134,119","7.76B","-0.30%"
"06/06/2025","136,102","136,236","136,890","135,601","9.12B","-0.10%"
"06/05/2025","136,236","137,003","137,451","136,031","9.48B","-0.56%"
"06/04/2025","137,002","137,547","138,797","136,695","10.20B","-0.40%"
"06/03/2025","137,546","136,787","137,672","136,175","9.70B","0.56%"
"06/02/2025","136,787","137,026","138,471","136,483","9.10B","-0.18%"
"05/30/2025","137,027","138,546","138,637","136,726","15.14B","-1.09%"
"05/29/2025","138,534","138,869","139,108","137,993","8.83B","-0.25%"
"05/28/2025","138,888","139,541","139,547","138,580","9.73B","-0.47%"
"05/27/2025","139,541","138,136","140,382","138,136","11.19B","1.02%"
"05/26/2025","138,136","137,824","138,800","137,795","5.55B","0.23%"
"05/23/2025","137,824","137,273","137,824","134,997","10.68B","0.40%"
"05/22/2025","137,273","137,881","138,837","137,088","13.22B","-0.44%"
"05/21/2025","137,881","140,109","140,109","137,538","10.15B","-1.59%"
"05/20/2025","140,110","139,636","140,244","138,966","9.65B","0.34%"
"05/19/2025","139,636","139,186","140,203","138,587","9.59B","0.32%"
"05/16/2025","139,187","139,335","139,335","137,713","12.11B","-0.11%"
"05/15/2025","139,334","138,425","139,408","138,321","11.50B","0.66%"
"05/14/2025","138,423","138,965","139,362","138,228","11.16B","-0.39%"
"05/13/2025","138,963","136,565","139,419","136,550","13.07B","1.76%"
"05/12/2025","136,563","136,516","137,519","136,356","10.92B","0.04%"
"05/09/2025","136,512","136,232","137,286","136,105","13.88B","0.21%"
"05/08/2025","136,232","133,458","137,635","133,458","17.20B","2.12%"
"05/07/2025","133,398","133,517","134,110","132,872","9.94B","-0.09%"
"05/06/2025","133,516","133,499","134,135","133,260","11.14B","0.02%"
"05/05/2025","133,491","135,131","135,198","133,390","10.80B","-1.22%"
"05/02/2025","135,134","135,067","135,275","134,355","12.74B","0.05%"
"04/30/2025","135,067","135,094","135,171","133,955","15.45B","-0.02%"
"04/29/2025","135,093","135,017","136,150","134,899","12.76B","0.06%"
"04/28/2025","135,016","134,741","135,709","134,711","11.45B","0.21%"
"04/25/2025","134,739","134,579","134,992","134,186","13.05B","0.12%"
"04/24/2025","134,580","132,245","134,938","132,223","14.11B","1.79%"
"04/23/2025","132,216","130,468","133,318","130,468","11.34B","1.34%"
"04/22/2025","130,464","129,650","130,877","128,726","8.61B","0.63%"
"04/17/2025","129,650","128,316","130,091","127,973","9.98B","1.04%"
"04/16/2025","128,317","129,245","129,605","128,149","11.54B","-0.72%"
"04/15/2025","129,245","129,452","129,927","128,951","8.84B","-0.16%"
"04/14/2025","129,454","127,683","129,955","127,683","10.61B","1.39%"
"04/11/2025","127,682","126,355","128,386","126,078","10.08B","1.05%"
"04/10/2025","126,355","127,796","127,797","124,895","11.46B","-1.13%"
"04/09/2025","127,796","123,928","128,649","122,887","16.92B","3.12%"
"04/08/2025","123,932","125,588","127,652","123,454","12.81B","-1.32%"
"04/07/2025","125,588","127,229","128,411","123,876","14.05B","-1.31%"
"04/04/2025","127,256","131,139","131,139","126,466","13.18B","-2.96%"
"04/03/2025","131,141","131,185","132,552","130,182","12.33B","-0.04%"
"04/02/2025","131,190","131,151","131,424","130,393","8.82B","0.03%"
"04/01/2025","131,147","130,267","131,982","130,081","8.97B","0.68%"
"03/31/2025","130,260","131,900","131,901","130,115","9.99B","-1.25%"
"03/28/2025","131,902","133,143","133,143","131,315","8.91B","-0.94%"
"03/27/2025","133,149","132,522","133,904","132,479","10.02B","0.47%"
"03/26/2025","132,520","132,069","132,984","132,068","9.40B","0.34%"
"03/25/2025","132,068","131,327","133,471","131,325","9.24B","0.57%"
"03/24/2025","131,321","132,344","132,424","130,992","8.30B","-0.77%"
"03/21/2025","132,345","132,005","132,588","131,776","14.19B","0.30%"
"03/20/2025","131,955","132,505","132,713","131,813","14.19B","-0.42%"
"03/19/2025","132,508","131,476","132,984","131,451","12.20B","0.79%"
"03/18/2025","131,475","130,832","131,834","130,722","10.99B","0.49%"
"03/17/2025","130,834","128,959","131,313","128,957","11.06B","1.46%"
"03/14/2025","128,957","125,647","129,194","125,647","14.57B","2.64%"
"03/13/2025","125,637","123,863","125,774","123,590","11.26B","1.43%"
"03/12/2025","123,864","123,507","124,048","122,969","8.25B","0.29%"
"03/11/2025","123,507","124,519","124,625","122,636","8.81B","-0.81%"
"03/10/2025","124,519","125,031","125,031","123,471","9.37B","-0.41%"
"03/07/2025","125,035","123,357","125,822","122,530","9.98B","1.36%"
"03/06/2025","123,358","123,048","124,112","122,681","10.06B","0.25%"
"03/05/2025","123,047","122,799","123,364","122,747","9.60B","0.20%"
"02/28/2025","122,799","124,798","124,916","122,659","24.87B","-1.60%"
"02/27/2025","124,799","124,768","125,497","124,352","12.55B","0.02%"
"02/26/2025","124,769","125,980","126,563","124,732","11.36B","-0.96%"
"02/25/2025","125,980","125,401","126,718","125,382","11.08B","0.46%"
"02/24/2025","125,401","127,129","127,275","125,162","10.15B","-1.36%"
"02/21/2025","127,128","127,601","127,654","126,483","11.09B","-0.37%"
"02/20/2025","127,601","127,309","127,871","127,063","10.64B","0.23%"
"02/19/2025","127,309","128,528","128,528","127,028","9.30B","-0.95%"
"02/18/2025","128,532","128,553","129,294","128,012","10.99B","-0.02%"
"02/17/2025","128,552","128,229","129,534","128,229","9.97B","0.26%"
"02/14/2025","128,219","124,849","128,482","124,849","12.56B","2.70%"
"02/13/2025","124,850","124,372","124,853","123,778","9.05B","0.38%"
"02/12/2025","124,380","126,513","126,513","124,116","14.63B","-1.69%"
"02/11/2025","126,522","125,571","126,886","125,570","11.24B","0.76%"
"02/10/2025","125,572","124,619","126,386","124,619","8.91B","0.76%"
"02/07/2025","124,619","126,219","126,524","124,320","10.95B","-1.27%"
"02/06/2025","126,225","125,531","126,399","125,249","10.03B","0.55%"
"02/05/2025","125,534","125,146","125,846","124,637","9.96B","0.31%"
"02/04/2025","125,147","125,964","125,964","124,694","9.78B","-0.65%"
"02/03/2025","125,970","126,135","126,473","125,566","9.55B","-0.13%"
"01/31/2025","126,135","126,914","127,532","126,057","10.24B","-0.61%"
"01/30/2025","126,913","123,433","127,169","123,432","11.69B","2.82%"
"01/29/2025","123,432","124,056","124,767","123,278","7.35B","-0.50%"
"01/28/2025","124,056","124,861","124,881","123,973","8.31B","-0.65%"
"01/27/2025","124,862","122,443","124,862","122,207","11.02B","1.97%"
"01/24/2025","122,447","122,483","122,908","122,196","7.78B","-0.03%"
"01/23/2025","122,483","122,965","123,958","122,159","9.49B","-0.40%"
"01/22/2025","122,972","123,345","123,865","122,926","9.98B","-0.30%"
"01/21/2025","123,338","122,850","123,462","122,290","7.82B","0.39%"
"01/20/2025","122,855","122,349","123,172","121,511","6.05B","0.41%"
"01/17/2025","122,350","121,258","122,674","121,074","10.24B","0.92%"
"01/16/2025","121,234","122,649","122,660","120,796","11.31B","-1.15%"
"01/15/2025","122,650","119,309","122,988","119,303","11.93B","2.81%"
"01/14/2025","119,299","119,007","119,451","118,223","9.35B","0.25%"
"01/13/2025","119,007","118,856","119,729","118,743","8.16B","0.13%"
"01/10/2025","118,856","119,781","120,052","118,732","9.26B","-0.77%"
"01/09/2025","119,781","119,625","120,145","119,502","6.61B","0.13%"
"01/08/2025","119,625","121,160","121,160","119,351","10.23B","-1.27%"
"01/07/2025","121,163","120,022","121,713","120,022","11.12B","0.95%"
"01/06/2025","120,022","118,534","120,322","118,534","9.69M","1.26%"
"01/03/2025","118,533","120,125","120,356","118,404","9.80M","-1.33%"
"01/02/2025","120,125","120,283","120,782","119,120","9.37M","-0.13%"
"12/30/2024","120,283","120,267","121,050","120,158","8.90M","0.01%"
"12/27/2024","120,269","121,078","121,609","120,252","8.94M","-0.67%"
"12/26/2024","121,078","120,767","121,612","120,428","8.34M","0.26%"
"12/23/2024","120,767","122,105","122,105","120,617","9.95M","-1.09%"
"12/20/2024","122,102","121,183","122,209","120,700","18.13M","0.75%"
"12/19/2024","121,188","120,768","121,770","120,768","13.68M","0.34%"
"12/18/2024","120,772","124,699","124,699","120,457","19.74M","-3.15%"
"12/17/2024","124,698","123,560","125,301","123,560","17.56M","0.92%"
"12/16/2024","123,560","124,610","124,956","123,495","11.07M","-0.84%"
"12/13/2024","124,612","126,102","126,290","124,578","11.76M","-1.13%"
"12/12/2024","126,042","129,587","129,587","125,829","13.45M","-2.74%"
"12/11/2024","129,593","128,228","130,899","127,362","13.17M","1.06%"
"12/10/2024","128,228","127,213","128,511","127,213","9.14M","0.80%"
"12/09/2024","127,210","125,946","127,542","125,946","9.37M","1.00%"
"12/06/2024","125,946","127,856","127,872","125,833","11.22M","-1.50%"
